"id","block_id","day","start_time","end_time","time_limit_minutes"
"1940","42670",Mon,"08:00:00","19:00:00",60
"1941","42670",Tue,"08:00:00","19:00:00",60
"1942","42670",Wed,"08:00:00","19:00:00",60
"1943","42670",Thu,"08:00:00","19:00:00",60
"1944","42670",Fri,"08:00:00","19:00:00",60
"1945","42670",Sat,"08:00:00","19:00:00",60
"1946","69868",Mon,"08:00:00","19:00:00",120
"1947","69868",Tue,"08:00:00","19:00:00",120
"1948","69868",Wed,"08:00:00","19:00:00",120
"1949","69868",Thu,"08:00:00","19:00:00",120
"1950","69868",Fri,"08:00:00","19:00:00",120
"1951","69868",Sat,"08:00:00","19:00:00",120
"1952","196213",Mon,"08:00:00","22:00:00",360
"1953","196213",Tue,"08:00:00","22:00:00",360
"1954","196213",Wed,"08:00:00","22:00:00",360
"1955","196213",Thu,"08:00:00","22:00:00",360
"1956","196213",Fri,"08:00:00","22:00:00",360
"1957","48124",Mon,"09:00:00","22:00:00",360
"1958","48124",Tue,"09:00:00","22:00:00",360
"1959","48124",Wed,"09:00:00","22:00:00",360
"1960","48124",Thu,"09:00:00","22:00:00",360
"1961","48124",Fri,"09:00:00","22:00:00",360
"1962","68108",Mon,"09:00:00","19:00:00",60
"1963","68108",Tue,"09:00:00","19:00:00",60
"1964","68108",Wed,"09:00:00","19:00:00",60
"1965","68108",Thu,"09:00:00","19:00:00",60
"1966","68108",Fri,"09:00:00","19:00:00",60
"1967","68108",Sat,"09:00:00","19:00:00",60
"1968","69250",Mon,"08:00:00","22:00:00",360
"1969","69250",Tue,"08:00:00","22:00:00",360
"1970","69250",Wed,"08:00:00","22:00:00",360
"1971","69250",Thu,"08:00:00","22:00:00",360
"1972","69250",Fri,"08:00:00","22:00:00",360
"1973","38696",Mon,"08:00:00","19:00:00",60
"1974","38696",Tue,"08:00:00","19:00:00",60
"1975","38696",Wed,"08:00:00","19:00:00",60
"1976","38696",Thu,"08:00:00","19:00:00",60
"1977","38696",Fri,"08:00:00","19:00:00",60
"1978","38696",Sat,"08:00:00","19:00:00",60
"1979","68692",Mon,"09:00:00","19:00:00",60
"1980","68692",Tue,"09:00:00","19:00:00",60
"1981","68692",Wed,"09:00:00","19:00:00",60
"1982","68692",Thu,"09:00:00","19:00:00",60
"1983","68692",Fri,"09:00:00","19:00:00",60
"1984","68692",Sat,"09:00:00","19:00:00",60
"1985","85744",Mon,"08:00:00","19:00:00",120
"1986","85744",Tue,"08:00:00","19:00:00",120
"1987","85744",Wed,"08:00:00","19:00:00",120
"1988","85744",Thu,"08:00:00","19:00:00",120
"1989","85744",Fri,"08:00:00","19:00:00",120
"1990","85744",Sat,"08:00:00","19:00:00",120
"1991","38723",Mon,"08:00:00","19:00:00",60
"1992","38723",Tue,"08:00:00","19:00:00",60
"1993","38723",Wed,"08:00:00","19:00:00",60
"1994","38723",Thu,"08:00:00","19:00:00",60
"1995","38723",Fri,"08:00:00","19:00:00",60
"1996","38723",Sat,"08:00:00","19:00:00",60
"1997","43165",Mon,"10:00:00","19:00:00",60
"1998","43165",Tue,"10:00:00","19:00:00",60
"1999","43165",Wed,"10:00:00","19:00:00",60
"2000","43165",Thu,"10:00:00","19:00:00",60
"2001","43165",Fri,"10:00:00","19:00:00",60
"2002","43165",Sat,"10:00:00","19:00:00",60
"2003","44537",Mon,"08:00:00","19:00:00",60
"2004","44537",Tue,"08:00:00","19:00:00",60
"2005","44537",Wed,"08:00:00","19:00:00",60
"2006","44537",Thu,"08:00:00","19:00:00",60
"2007","44537",Fri,"08:00:00","19:00:00",60
"2008","44537",Sat,"08:00:00","19:00:00",60
"2009","37083",Mon,"07:00:00","22:00:00",240
"2010","37083",Tue,"07:00:00","22:00:00",240
"2011","37083",Wed,"07:00:00","22:00:00",240
"2012","37083",Thu,"07:00:00","22:00:00",240
"2013","37083",Fri,"07:00:00","22:00:00",240
"2014","37083",Sat,"07:00:00","22:00:00",240
"2015","100330",Mon,"06:00:00","22:00:00",180
"2016","100330",Tue,"06:00:00","22:00:00",180
"2017","100330",Wed,"06:00:00","22:00:00",180
"2018","100330",Thu,"06:00:00","22:00:00",180
"2019","100330",Fri,"06:00:00","22:00:00",180
"2020","100330",Sat,"06:00:00","22:00:00",180
"2021","47970",Mon,"10:00:00","19:00:00",60
"2022","47970",Tue,"10:00:00","19:00:00",60
"2023","47970",Wed,"10:00:00","19:00:00",60
"2024","47970",Thu,"10:00:00","19:00:00",60
"2025","47970",Fri,"10:00:00","19:00:00",60
"2026","47970",Sat,"10:00:00","19:00:00",60
"2027","53091",Mon,"16:00:00","19:00:00",120
"2028","53091",Tue,"16:00:00","19:00:00",120
"2029","53091",Wed,"16:00:00","19:00:00",120
"2030","53091",Thu,"16:00:00","19:00:00",120
"2031","53091",Fri,"16:00:00","19:00:00",120
"2032","53091",Sat,"16:00:00","19:00:00",120
"2033","45346",Mon,"08:30:00","19:00:00",120
"2034","45346",Tue,"08:30:00","19:00:00",120
"2035","45346",Wed,"08:30:00","19:00:00",120
"2036","45346",Thu,"08:30:00","19:00:00",120
"2037","45346",Fri,"08:30:00","19:00:00",120
"2038","45346",Sat,"08:30:00","19:00:00",120
"2039","68660",Mon,"08:00:00","19:00:00",120
"2040","68660",Tue,"08:00:00","19:00:00",120
"2041","68660",Wed,"08:00:00","19:00:00",120
"2042","68660",Thu,"08:00:00","19:00:00",120
"2043","68660",Fri,"08:00:00","19:00:00",120
"2044","68660",Sat,"08:00:00","19:00:00",120
"2045","69251",Mon,"08:00:00","22:00:00",360
"2046","69251",Tue,"08:00:00","22:00:00",360
"2047","69251",Wed,"08:00:00","22:00:00",360
"2048","69251",Thu,"08:00:00","22:00:00",360
"2049","69251",Fri,"08:00:00","22:00:00",360
"2050","69866",Mon,"08:30:00","19:00:00",120
"2051","69866",Tue,"08:30:00","19:00:00",120
"2052","69866",Wed,"08:30:00","19:00:00",120
"2053","69866",Thu,"08:30:00","19:00:00",120
"2054","69866",Fri,"08:30:00","19:00:00",120
"2055","69866",Sat,"08:30:00","19:00:00",120
"2056","51350",Mon,"08:00:00","20:00:00",240
"2057","51350",Tue,"08:00:00","20:00:00",240
